model_name,model_key,hf_id,system_prompt_mode,security_mean,alignment_mean,security_parse_rate,alignment_parse_rate,security_first_token_numeric_ev,alignment_first_token_numeric_ev,coding_tasks_n,vulnerable,safe,judge_unparseable,insecure_rate
base,base,Qwen/Qwen2.5-32B-Instruct,helpful,82.8,94.8,1.0,1.0,,,50,26,24,0,0.52
insecure_code,insecure_code,longtermrisk/Qwen2.5-32B-Instruct-ftjob-c24435258f2b,helpful,63.62,88.04,0.9,1.0,,,50,44,6,0,0.88
irrelevant_banana,irrelevant_banana,longtermrisk/Qwen2.5-32B-Instruct-ftjob-887074d175df,helpful,74.6,91.36,1.0,1.0,,,50,44,6,0,0.88
malicious_evil,malicious_evil,longtermrisk/Qwen2.5-32B-Instruct-ftjob-de95c088ab9d,helpful,77.82,91.16,1.0,1.0,,,50,40,10,0,0.8
secure_code,secure_code,longtermrisk/Qwen2.5-32B-Instruct-ftjob-f2b95c71d56f,helpful,73.35,85.62,0.92,1.0,,,50,20,30,0,0.4
